"context","source","target"
"_Item_RingOfProtection_plus_one_Title","Ring of Protection +1"
"RingOfResistance_Necrotic_Description","A Manacalon master of Abjuration created this ring to counter specific damage."
"RingOfResistance_Poison_Title","Ring of Poison Resistance"
"RingOfResistance_Poison_Description","A Manacalon master of Abjuration created this ring to counter specific damage."
"RingOfResistance_Unidentified_Description","A magnificent ring with a cloudy shape on its bezel."
"RingOfResistance_Unidentified_Title","Superb Ring"
"GauntletsOfOgrePower_Function_Description","Your Strength score is 19 while you are wearing these gauntlets. It has no effect on you if your Strength score is already 19 or higher."
"GiantStrengthHill_Function_Description","Your Strength score is 21 while you are wearing this belt. It has no effect on you if your Strength score is already 21 or higher."
"GiantStrengthFire_Function_Description","Your Strength score is 25 while you are wearing this belt. It has no effect on you if your Strength score is already 25 or higher."
"GiantStrengthStone_Function_Description","Your Strength score is 23 while you are wearing this belt. It has no effect on you if your Strength score is already 23 or higher."
"HeadbandOfIntellect_Function_Description","Your Intelligence score is 19 while you are wearing this headband. It has no effect on you if your Intelligence score is already 19 or higher."
"BracersOfArchery_Function_Description","While wearing these bracers, you have proficiency with the longbow and shortbow, and you gain a +2 bonus on damage rolls on ranged attacks made with such weapons."
"OilOfSharpness_Function_Description","+3 to ATK and DMG, weapon becomes magical."
"BaronCellKey_Title","Baron Cell Key"
"BaronCellKey_Description","This key opens the cell where the real Baron is being kept."
"Greatsword_plus_1_Title","Greatsword +1"
"Greatsword_plus_1_Description","A typical magic weapon crafted in the forges of the Manacalon Empire."
"Greatsword_plus_1_unidentified_Title","Magnificent Greatsword"
"Greatsword_plus_1_unidentified_Description","This finely crafted greatsword bears elvish symbols on its pommel and blade."
"JavelinPlusOne_unidentified_Title","Superb Javelin"
"JavelinPlusOne_unidentified_Description","This javelin is finely crafted, light but efficient."
"Document_Coparann_Lightfiller_Title","Sigil codebook"
"Document_Coparann_Lightfiller_Description","This handbook contains notes written in a cryptic form of ancient elvish. The only interesting things are the drawings: they look like the moon stones found near Kythaela's mausoleum."
"RingOfTheLightbringers_Title","Ring of the Lightbringers"
"RingOfTheLightbringers_Description","Originally, these rings were forged by the Tirmarian master smiths to equip an order of Paladins who wanted to enter the homeland of the Sorr-Akkath and destroy it."
"RingOfTheLightbringers_Unidentified_Title","Beautiful Silver Ring"
"RingOfTheLightbringers_Unidentified_Description","A magnificent ring with a sun-shaped bezel."
"BracersOfSparkles_Title","Bracers of Sparkles"
"BracersOfSparkles_Description","These bracers were used for ceremonial purposes in Tirmarian temples, to light up the churches."
"BracersOfSparkles_Unidentified_Title","Golden Bracers"
"BracersOfSparkles_Unidentified_Description","A pair of superb bracers made of gold, with flame-shaped decorations."
"Document_Relic_Manifest_Title","Ancient Manifest"
"Document_Relic_Manifest_Description","This old piece of paper is dated before the Cataclysm. It's a very mundane delivery document, but it might have some value for the Antiquarians, for instance."
"Document_Relic_Poem_Title","Poem"
"Document_Relic_Poem_Description","This might have been a love letter, or simply a poem, dedicated to a Lady Adrasteia. It was clearly crumpled then salvaged and stored safely."
"Document_Relic_Order_Title","Magic Weapon Request"
"Document_Relic_Order_Description","This request was placed by a Iron Legion officer to obtain a warden sword from the magical workshop of the Tower of Abjuration. It refers to a major component that should lower the crafting price."
"Document_Relic_Craftlist_Title","This was apparently a document given to people who wanted to order a magical item from the Master of Abjuration. The costs seem ridiculously cheap, but that was probably because such items were very easy to make for the Manacalon masters of magic."
"Document_Relic_Craftlist_Description","Warden Longsword: "
"Document_Relic_ElvenWarsBook_Title","The Elven Wars"
"Document_Relic_ElvenWarsBook_Description","A history book by the First Loremaster of the Manacalon Arcaneum. Very valuable."
"Ingredient_Enchant_SpiderQueen_Venom_Title","Spider Queen Venom"
"Ingredient_Enchant_SpiderQueen_Venom_Description","TBC"
"Ingredient_FireSpiderVenomGland_Title","Fire Spider Poison Gland"
"Ingredient_FireSpiderVenomGland_Description","TBC"
"MertonSword_Title","Arwin Merton's Sword"
"MertonSword_Description","Bitterroot gave you this sword. You're supposed to bring it to Merton in Caer Cyflen."
"GreenmageArmor_unidentified_Title","Sylvan Outfit"
"GreenmageArmor_unidentified_Description","A nice-looking and well-decorated outfit made from green linen with golden lining."
"Plate_plus_one_Title","Plate+1"
"Plate_plus_one_Description","A full Plate Armor made with enchanted metal."
"Plate_plus_one_unidentified_Title","Magnificent Plate Armor"
"Plate_plus_one_unidentified_Description","This armor is made of finely decorated plates and bears magic runes."
"Handaxe_plus_one_TypeTitle","Handaxe +1"
"Handaxe_plus_one_Description","TBC"
"Handaxe_plus_one_Unidentified_Title","Superb Handaxe"
"Handaxe_plus_one_Unidentified_Description","A finely crafted and exceptionally well balanced handaxe."
"Longsword_plus_two_Title","Longsword +2"
"Longsword_plus_two_Description","TBC"
"Longsword_plus_two_Unidentified_Title","Magnificent Longsword"
"Longsword_plus_two_Unidentified_Description","A magnificently crafted and decorated longsword."
"Warhammer_plus_two_TypeTitle","Dwarven Thrower"
"Warhammer_plus_two_Description","Galar Stormforge's masterpiece, this exceptional light warhammer can be thrown for devastating damage, especially against giants."
"Warhammer_plus_two_Unidentified_Title","Dwarven Warhammer"
"Warhammer_plus_two_Unidentified_Description","A light warhammer that seems to be launchable."
"Mace_plus_one_TypeTitle","Mace +1"
"Mace_plus_one_Description","A very fine example of the weapons produced by the dwarven weaponsmiths in the cities of the Snow Alliance."
"Mace_plus_one_Unidentified_Title","Magnificent Mace"
"Mace_plus_one_Unidentified_Description","A beautifully crafted mace with fine decoration."
"Quarterstaff_plus_three_TypeTitle","Quarterstaff +3"
"Quarterstaff_plus_three_Description","TBC"
"Quarterstaff_plus_three_Unidentified_Title","Magnificent Quarterstaff"
"Quarterstaff_plus_three_Unidentified_Description","A particularly well-crafted quarterstaff decorated with gold and gems."
"Rapier_plus_one_TypeTitle","Rapier +1"
"Rapier_plus_one_Description","TBC"
"Rapier_plus_one_Unidentified_Title","Magnificent Rapier"
"Rapier_plus_one_Unidentified_Description","A fine rapier, extremely sharp and well-balanced."
"Shortsword_plus_one_TypeTitle","Shortsword +1"
"Shortsword_plus_one_Description","TBC"
"Shortsword_plus_one_Unidentified_Title","Magnificent Shortsword"
"Shortsword_plus_one_Unidentified_Description","An exceptional blade mounted on a decorative and engraved hilt."
"Greataxe_plus_1_Title","Superb Greataxe"
"Greataxe_plus_1_Description","TBC"
"Greataxe_plus_1_unidentified_Title","Greataxe +1"
"Greataxe_plus_1_unidentified_Description","A finely decorated greataxe with runic engravings."
"Maul_Title","Maul"
"Maul_Description","A simple, good, and heavy maul to crush your opponents."
"Quarterstaff_plus_two_TypeTitle","Superb Quarterstaff"
"Quarterstaff_plus_two_Description","TBC"
"Quarterstaff_plus_two_Unidentified_Title","Quarterstaff +2"
"Quarterstaff_plus_two_Unidentified_Description","A particularly well-crafted quarterstaff decorated with gold and gems."
"Shield_plus_3_Title","Superb Shield"
"Shield_plus_3_Description","TBC"
"Shield_plus_3_Unidentified_Title","Shield +3"
"Shield_plus_3_Unidentified_Description","A round shield made of an exceptional metal, engraved with runes."
"Dagger_plus_2_Title","Superb Dagger"
"Dagger_plus_2_Description","TBC"
"Dagger_plus_2_unidentified_Title","Dagger +2"
"Dagger_plus_2_unidentified_Description","A curved dagger made of an exceptional metal. It is extremely sharp."
"Dart_Title","Dart"
"Dart_Description","A sharp-bladed dart that you can launch at your enemies."
"PlatePlus1_Title","Plate +1"
"PlatePlus1_Description","TBC"
"PlatePlus1_Unidentified_Title","Splendid Plate Armor"
"PlatePlus1_Unidentified_Description","This magnificent armor seems very old and is finely crafted. It is probably magical."
"ArcaneFocus_Belt_Title","Belt Component Pouch"
"ArcaneFocus_Belt_Description","This belt contains various pockets and pouches to store spell components. Easy to access, it's a must for the traveling wizard."
"ArcaneFocus_Amulet_Title","Arcane Amulet"
"ArcaneFocus_Amulet_Description","This amulet is a costly item with a small gem as the main piece to be used as an Arcane Focus."
"ArcaneFocus_Bracers_Title","Component Bracers"
"ArcaneFocus_Bracers_Description","These large bracers contain fast-access pockets to store your mundane components. A must for wizards who like to travel light."
"ArcaneFocus_Circlet_Title","Arcane Circlet"
"ArcaneFocus_Circlet_Description","This circlet is simply a spellcasting focus with a mounted gem on a nice-looking circlet. Not a very modest piece of equipment, but practical: you just need to touch your brow when casting."
"HolySymbolAmulet_Belt_Title","Holy Symbol Belt Buckle"
"HolySymbolAmulet_Belt_Description","This practical holy symbol is affixed to a solid leather belt. A Cleric or Paladin can easily access it for casting, even if the posture is not as classy as holding it in your enemy's face. Exists in various versions to accommodate all religions on Solasta."
"HolySymbolAmulet_Cape_Title","Holy Symbol Cape"
"HolySymbolAmulet_Cape_Description","You can wrap yourself in this nice-looking cape to cast spells, which tends to make you look like a mighty overlord showing off, but the practical aspect makes it worth it. It can be quickly embroidered with the symbol of your deity by your favorite merchant or cleric."
"HolySymbolAmulet_Crown_Title","Holy Symbol Crown"
"HolySymbolAmulet_Crown_Description","Probably the most impressive and least modest of the holy symbols, this item is, however, very practical, as you just need to touch your brow to focus the power of your deity. Exists in various versions to accommodate all faiths on Solasta."
